               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093309,            0.020708,            0.040117,             0.13959,             0.22593,             0.12192,             0.03454,            0.061124,            0.013198,            0.034789,            0.070857,           0.0032381,           0.0032381
                   1,            0.062289,            0.022007,            0.034921,             0.19775,             0.57972,             0.24632,            0.077504,            0.055391,            0.011944,            0.031098,            0.040792,           0.0065064,           0.0065064
                   2,             0.05722,            0.019043,            0.032539,             0.45701,             0.69288,             0.57259,             0.23001,            0.041824,           0.0098073,            0.026903,            0.010661,           0.0097086,           0.0097086
                   3,             0.05314,            0.017875,            0.028617,             0.81508,             0.59757,             0.71736,             0.29166,            0.042307,           0.0084932,            0.017414,            0.009703,            0.009703,            0.009703
                   4,            0.047079,            0.015248,            0.023409,             0.74252,             0.84088,              0.8776,             0.47569,            0.033451,           0.0071432,            0.012882,            0.009703,            0.009703,            0.009703
                   5,            0.045294,            0.013087,             0.01816,             0.74821,             0.85858,             0.84701,             0.38006,            0.040226,            0.005965,           0.0073921,            0.009604,            0.009604,            0.009604
                   6,            0.042337,            0.012284,             0.01323,             0.84666,             0.97876,             0.96997,             0.57566,            0.031496,           0.0057175,           0.0047883,            0.009505,            0.009505,            0.009505
                   7,            0.039974,            0.012299,            0.010501,             0.79891,             0.97552,               0.934,             0.57414,            0.032066,           0.0055757,            0.003638,            0.009406,            0.009406,            0.009406
                   8,            0.038326,            0.011612,            0.009571,             0.78065,             0.96462,             0.93833,             0.54577,            0.037347,           0.0054956,           0.0024178,            0.009307,            0.009307,            0.009307
                   9,            0.037354,             0.01114,            0.008975,             0.99456,             0.99242,             0.99454,             0.72182,            0.024769,           0.0047685,           0.0026892,            0.009208,            0.009208,            0.009208
                  10,            0.034522,            0.010838,           0.0081425,             0.98949,                   1,             0.99483,             0.67094,            0.025881,           0.0046828,           0.0019587,            0.009109,            0.009109,            0.009109
                  11,            0.032969,            0.010757,           0.0077447,             0.97872,             0.96881,             0.99343,               0.737,            0.024761,           0.0047412,           0.0021017,             0.00901,             0.00901,             0.00901
                  12,            0.033607,             0.01017,           0.0081477,             0.99807,             0.99224,             0.99488,             0.70266,            0.024024,           0.0047656,           0.0015421,            0.008911,            0.008911,            0.008911
                  13,            0.033629,              0.0105,           0.0060935,             0.99345,             0.99878,               0.995,             0.71777,            0.022263,           0.0045181,           0.0019118,            0.008812,            0.008812,            0.008812
                  14,            0.030276,            0.010323,           0.0070865,             0.97577,             0.95751,             0.98952,             0.62942,            0.027311,            0.004867,           0.0039101,            0.008713,            0.008713,            0.008713
                  15,            0.031019,            0.010863,           0.0072014,             0.97143,             0.96199,             0.99363,             0.71419,            0.022748,           0.0046042,            0.004739,            0.008614,            0.008614,            0.008614
                  16,             0.03121,            0.010256,           0.0059469,             0.99558,             0.99531,               0.995,              0.7567,            0.021266,           0.0045256,           0.0011127,            0.008515,            0.008515,            0.008515
                  17,            0.030933,            0.010044,           0.0052499,              0.9992,             0.99881,               0.995,             0.68309,             0.02436,           0.0044222,           0.0011948,            0.008416,            0.008416,            0.008416
                  18,            0.029591,            0.009777,           0.0049567,               0.996,             0.99838,             0.99414,             0.70748,            0.020573,            0.004278,           0.0013497,            0.008317,            0.008317,            0.008317
                  19,            0.029794,           0.0096689,           0.0054823,              0.9992,                   1,               0.995,             0.76973,            0.020629,           0.0041791,           0.0011167,            0.008218,            0.008218,            0.008218
                  20,            0.028943,            0.009631,           0.0046331,             0.99951,                   1,               0.995,             0.76078,            0.020929,           0.0041412,           0.0013128,            0.008119,            0.008119,            0.008119
                  21,            0.028909,           0.0097172,           0.0052137,             0.99956,              0.9964,             0.99498,             0.75033,            0.020346,           0.0044283,           0.0011425,             0.00802,             0.00802,             0.00802
                  22,            0.027653,           0.0096669,           0.0056205,             0.99951,                   1,               0.995,             0.76788,            0.020144,           0.0040975,          0.00096971,            0.007921,            0.007921,            0.007921
                  23,            0.027559,           0.0092895,           0.0048695,             0.99944,             0.99883,               0.995,             0.75867,            0.019613,           0.0040375,           0.0011397,            0.007822,            0.007822,            0.007822
                  24,            0.027615,           0.0096162,           0.0052385,             0.99938,                   1,               0.995,             0.76095,            0.020516,           0.0040788,           0.0010712,            0.007723,            0.007723,            0.007723
                  25,            0.027352,           0.0094964,           0.0045447,             0.99939,                   1,               0.995,             0.74899,            0.020078,           0.0040075,          0.00088125,            0.007624,            0.007624,            0.007624
                  26,            0.026749,           0.0094371,           0.0038455,             0.99902,                   1,               0.995,             0.76509,            0.020429,           0.0039858,          0.00087229,            0.007525,            0.007525,            0.007525
                  27,            0.026098,           0.0090952,           0.0046823,             0.99916,                   1,               0.995,             0.76928,            0.018628,           0.0039335,          0.00089067,            0.007426,            0.007426,            0.007426
                  28,            0.026083,             0.00932,           0.0044479,             0.99856,                   1,               0.995,             0.77281,            0.019184,           0.0039403,           0.0012962,            0.007327,            0.007327,            0.007327
                  29,            0.026179,           0.0090222,           0.0039071,             0.99956,                   1,               0.995,             0.77517,            0.018064,           0.0039631,          0.00075368,            0.007228,            0.007228,            0.007228
